NCFormat,IPCC_code,IPCC_name,SourceName,CRF,Old_SG_name,CCP_category,Pollutant,EmissionYear,Emmisions (MtCO2e)
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2005,0.065188738
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2006,0.058427967
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2007,0.056224039
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2008,0.040005245
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2009,0.035337527
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2010,0.032502633
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2011,0.033834732
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2012,0.02904019
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2013,0.028166852
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2014,0.02749977
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2015,0.025088999
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2016,0.025595604
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2017,0.025694202
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2018,0.025821643
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2019,0.028542388
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,CO2,2020,0.023067738
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,BaseYear,0.000180695
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,1990,0.000180695
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,1995,0.000195004
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,1998,0.000139562
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,1999,0.000148951
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2000,0.000102315
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2001,0.000109193
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2002,0.000104921
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2003,0.000107034
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2004,0.000112552
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2005,0.000115704
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2006,0.000109731
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2007,0.000106041
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2008,0.000129935
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2009,0.000102838
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2010,0.000143033
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2011,0.000123004
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2012,0.000133974
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2013,0.000201203
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2014,0.000283407
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2015,0.000501506
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2016,0.000463269
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2017,0.000541454
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2018,0.000554114
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2019,0.000544147
Agriculture,1A4ci,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,Energy,Agriculture and related land use,Agriculture,N2O,2020,0.000516602
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,BaseYear,0.001039876
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,1990,0.001039876
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,1995,0.001039876
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,1998,0.001040992
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,1999,0.001020504
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2000,0.000990665
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2001,0.000973737
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2002,0.000970595
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2003,0.000962886
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2004,0.000923792
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2005,0.000934611
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2006,0.000888137
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2007,0.000843531
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2008,0.000822597
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2009,0.000838921
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2010,0.000843577
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2011,0.000854407
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2012,0.000859347
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2013,0.000848753
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2014,0.000848664
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2015,0.000873697
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2016,0.000907468
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2017,0.000899369
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2018,0.000895875
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2019,0.000898362
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CH4,2020,0.000891725
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,BaseYear,0.810008844
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,1990,0.810008844
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,1995,0.810008844
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,1998,0.811814273
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,1999,0.79577875
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2000,0.772424064
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2001,0.759174935
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2002,0.756715652
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2003,0.750682279
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2004,0.720758396
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2005,0.727923836
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2006,0.692233115
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2007,0.6579083
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2008,0.64171645
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2009,0.656047655
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2010,0.660598884
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2011,0.669055495
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2012,0.689343044
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2013,0.6810562
Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2014,0.685171045
